V_I,ID,Mode,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
3.275,OGLE-BLG-CEP-049,1,17.601397,-28.834778,-99.99,-99.99,BLG653.11.66196,-99.99,16.853,20.128,2.3069942,3.2e-06,2460001.0367,0.287,0.112,4.57,0.021,4.234,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.748,OGLE-BLG-CEP-050,1,17.607211,-29.14475,-99.99,-99.99,BLG653.03.6575,-99.99,17.005,19.753,0.4792028,4e-07,2460000.4109,0.189,0.089,3.611,0.026,0.321,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
4.168,OGLE-BLG-CEP-051,F,17.615442,-33.32675,-99.99,-99.99,BLG661.25.46284,-99.99,12.511,16.679,8.4874218,1.67e-05,2460002.6846,0.471,0.197,5.565,0.106,4.073,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-052,F,17.615997,-30.928556,-99.99,-99.99,BLG655.19.10921,-99.99,16.496,-99.99,18.6514169,0.0029014,2460012.7227,0.649,0.233,4.605,0.122,2.117,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-053,F,17.616258,-29.86925,-99.99,-99.99,BLG654.10.35871,-99.99,19.834,-99.99,1.5045725,5.9e-06,2460000.949,0.577,0.461,4.269,0.284,2.242,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.918,OGLE-BLG-CEP-054,1,17.625817,-28.82725,-99.99,-99.99,BLG653.09.57456,-99.99,16.767,20.685,3.6404909,1e-05,2460000.4325,0.225,0.15,3.587,0.066,0.601,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.912,OGLE-BLG-CEP-055,1,17.629325,-28.804194,-99.99,-99.99,BLG653.09.34770,-99.99,17.055,19.967,0.5052686,5e-07,2460000.254,0.142,0.134,4.107,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
4.163,OGLE-BLG-CEP-056,1,17.631997,-33.413667,-99.99,-99.99,BLG661.24.7253,-99.99,16.034,20.197,4.7692005,1.99e-05,2460004.7364,0.25,0.177,4.473,0.07,2.496,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-057,F,17.633933,-29.781611,-99.99,-99.99,BLG654.18.2057,-99.99,18.642,-99.99,3.7816002,2e-05,2460000.8027,0.403,0.435,4.586,0.182,3.017,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.901,OGLE-BLG-CEP-058,1,17.644536,-27.395194,-99.99,-99.99,BLG675.15.135475,-99.99,15.611,18.512,4.4882866,6.3e-06,2460001.0406,0.238,0.226,4.796,0.062,2.915,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.627,OGLE-BLG-CEP-059,12,17.649456,-27.575722,-99.99,-99.99,BLG675.15.42211,-99.99,16.462,19.089,0.3494707,3e-07,2460000.1857,0.102,0.1,4.051,0.0,-99.99,0.276482,5e-07,2460000.1714,0.018,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.049,OGLE-BLG-CEP-060,F,17.660053,-27.01275,-99.99,-99.99,BLG675.31.23825,-99.99,16.335,19.384,4.6387299,1.04e-05,2460001.3847,0.209,0.306,4.798,0.089,3.455,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-061,F,17.661861,-28.809778,-99.99,-99.99,BLG676.14.11429,-99.99,18.753,-99.99,3.3743802,4.01e-05,2460003.1285,0.514,0.363,4.5,0.186,2.332,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.487,OGLE-BLG-CEP-062,F,17.66205,-28.720778,-99.99,-99.99,BLG676.14.19846,-99.99,18.356,21.843,1.5662371,5.5e-06,2460001.2069,0.625,0.391,4.091,0.087,1.095,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.124,OGLE-BLG-CEP-063,1,17.666647,-27.753417,-99.99,-99.99,BLG675.05.105361,-99.99,17.063,20.187,1.3796397,3.5e-06,2460000.1072,0.109,0.188,5.057,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.745,OGLE-BLG-CEP-064,1,17.673339,-22.058083,-99.99,-99.99,BLG624.04.41948,-99.99,15.661,17.406,0.6488823,5e-07,2460000.1356,0.246,0.209,3.767,0.083,1.262,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-065,F,17.682969,-28.140472,-99.99,-99.99,BLG676.29.15665,-99.99,17.5,-99.99,4.5188188,2.75e-05,2460003.1268,0.464,0.41,4.78,0.207,3.285,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.747,OGLE-BLG-CEP-066,1,17.707486,-26.753806,-99.99,-99.99,BLG652.02.41511,-99.99,16.913,20.66,2.981618,6.2e-06,2460000.1763,0.286,0.047,4.179,0.017,5.392,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.821,OGLE-BLG-CEP-067,1,17.710058,-24.312333,-99.99,BLG346.2.110573,BLG626.09.3132,-99.99,14.511,16.332,2.6106775,3.5e-06,2460000.1324,0.11,0.065,3.437,0.08,5.302,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,"double Cepheid P1 = 2.610678 d, P2 = 1.692387 d"
2.421,OGLE-BLG-CEP-068,1,17.737244,-26.221444,-99.99,-99.99,BLG648.32.74364,-99.99,17.138,19.559,0.3716871,3e-07,2460000.1096,0.28,0.102,3.419,0.047,6.044,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,= OGLE-BLG-RRLYR-27874
1.396,OGLE-BLG-CEP-069,1,17.740656,-22.924,-99.99,-99.99,BLG632.31.58631,-99.99,15.685,17.081,3.3322428,6.9e-06,2460001.3327,0.096,0.143,3.801,0.018,5.276,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.7,OGLE-BLG-CEP-070,12,17.758306,-25.062361,-99.99,-99.99,BLG633.04.103137,-99.99,17.239,19.939,1.2101225,2.3e-06,2460000.2128,0.256,0.234,4.344,0.044,2.576,0.9713523,7.8e-06,2460000.1647,0.054,0.0,-99.99,0.173,1.852,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.918,OGLE-BLG-CEP-072,1,17.773247,-25.892361,-99.99,-99.99,BLG683.04.97579,-99.99,17.384,20.302,0.4916521,7e-07,2460000.4574,0.232,0.078,2.671,0.111,6.221,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.369,OGLE-BLG-CEP-073,F,17.786061,-24.162056,-99.99,-99.99,BLG633.27.38472,-99.99,16.185,18.554,2.2670663,8e-07,2460001.1794,0.716,0.537,4.313,0.358,2.552,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-074,F,17.799083,-26.530833,-99.99,-99.99,BLG648.19.41912,-99.99,18.813,-99.99,3.3794802,1.68e-05,2460003.1992,0.507,0.372,4.53,0.195,2.732,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.092,OGLE-BLG-CEP-075,1,17.810719,-36.232611,-99.99,BLG113.8.55450,BLG599.16.159,-99.99,14.478,15.57,0.5308047,1e-06,2460000.1233,0.115,0.052,2.87,0.052,6.134,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-076,F,17.833269,-27.140694,-99.99,-99.99,BLG533.24.3841,-99.99,13.825,-99.99,10.3208143,0.0012474,2460003.2249,0.575,0.1,4.503,0.061,0.971,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.558,OGLE-BLG-CEP-077,F1,17.846106,-22.996972,-99.99,-99.99,BLG638.12.77408,-99.99,15.588,18.146,3.5197143,8.3e-06,2460000.1192,0.236,0.185,4.573,0.042,3.007,2.5335199,5.4e-06,2460001.7464,0.203,0.05,5.19,0.024,4.333,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-078,12,17.855025,-29.401028,-99.99,BLG194.3.4111,BLG501.30.36009,-99.99,17.787,-99.99,0.3247106,3e-07,2460000.2987,0.098,0.103,4.131,0.0,-99.99,0.2566148,3e-07,2460000.152,0.041,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
4.28,OGLE-BLG-CEP-079,F,17.860519,-24.356444,-99.99,-99.99,BLG639.11.35,-99.99,14.383,18.663,18.4787925,8.55e-05,2460000.4221,0.351,0.212,4.496,0.101,2.362,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.619,OGLE-BLG-CEP-080,12,17.865531,-28.423306,-99.99,-99.99,BLG500.21.82815,-99.99,16.582,20.201,0.332843,2e-07,2460000.2765,0.147,0.172,3.759,0.037,1.608,0.2642188,3e-07,2460000.1746,0.019,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.658,OGLE-BLG-CEP-081,F,17.869194,-21.050722,-99.99,-99.99,BLG637.27.49399,-99.99,14.928,17.586,5.956569,5.8e-06,2460004.942,0.436,0.387,5.058,0.109,3.517,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-082,1,17.873078,-28.909528,-99.99,-99.99,BLG500.11.133783,-99.99,16.85,-99.99,1.1074515,1.1e-06,2460000.7249,0.397,0.217,4.669,0.056,2.561,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.882,OGLE-BLG-CEP-083,1,17.873589,-23.371528,-99.99,-99.99,BLG638.02.6155,-99.99,17.137,20.019,0.841453,2.3e-06,2460000.7469,0.116,0.111,3.111,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-084,F,17.88105,-23.822889,-99.99,-99.99,BLG639.18.46952,-99.99,17.582,-99.99,3.3030919,1.58e-05,2460000.3788,0.535,0.38,4.534,0.181,2.762,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,variable mean magnitude
