V_I,ID,Mode,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
0.596001,OGLE-SMC-CEP-2864,F,0.977622,-72.896667,SMC_SC8_69627,SMC105.1.19286,SMC726.23.28452,HV1766,16.588,17.184,1.6804461000000002,1.4e-06,6000.87114,0.758,0.504,4.182,0.373,2.231,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.607,OGLE-SMC-CEP-2865,F,0.977875,-73.285806,-99.99,SMC106.3.125,SMC726.14.1027,-99.99,16.769,17.376,1.506071,1.6e-06,6000.34554,0.634,0.484,4.183,0.354,2.166,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.604,OGLE-SMC-CEP-2866,1,0.977894,-72.754139,SMC_SC8_79665,SMC105.2.21335,SMC719.08.614,-99.99,17.134,17.738,0.8803876,1.5e-06,6000.60037,0.404,0.313,4.216,0.102,2.075,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.723001,OGLE-SMC-CEP-2867,F,0.978181,-72.379778,SMC_SC8_101006,SMC108.1.35928,SMC719.17.156,HV1771,15.16,15.883,4.876743,7.8e-06,6002.39614,0.637,0.485,4.636,0.247,3.043,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.653,OGLE-SMC-CEP-2868,F,0.978197,-72.182583,-99.99,SMC108.2.37585,SMC725.16.517,HV12148,16.545,17.198,1.6771916,1.3e-06,6000.21835,0.791,0.5,4.14,0.353,2.199,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.512001,OGLE-SMC-CEP-2869,12,0.978475,-72.892778,SMC_SC8_73021,SMC105.2.379,SMC726.23.29647,-99.99,17.404,17.916,0.6664976,1.1e-06,6000.62194,0.358,0.259,3.958,0.124,1.541,0.5373703,5.8e-06,6000.13828,0.059,0.143,2.268,0.132,5.495,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.635,OGLE-SMC-CEP-2870,1,0.978589,-72.939694,SMC_SC8_69556,SMC105.1.19293,SMC726.23.28293,-99.99,17.066,17.701,0.9345814,3.1e-06,6000.30529,0.141,0.157,3.998,0.043,1.451,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.546,OGLE-SMC-CEP-2871,1,0.978772,-71.366361,-99.99,SMC109.4.28,SMC718.09.5436,HV1779,15.687,16.233,1.783357,2.9e-06,6000.6055,0.31,0.193,4.481,0.028,2.897,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.653,OGLE-SMC-CEP-2872,F,0.978789,-73.369639,-99.99,SMC106.2.19164,SMC726.14.18,HV1767,14.898,15.551,5.734087,1.15e-05,6003.86707,0.66,0.47,4.76,0.207,3.042,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.595999,OGLE-SMC-CEP-2873,F,0.979253,-71.676139,-99.99,SMC109.2.132,SMC725.25.11705,-99.99,16.305,16.901,2.0405287,1.9e-06,6000.27198,0.799,0.537,4.266,0.363,2.486,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.558,OGLE-SMC-CEP-2874,1,0.979269,-72.133611,-99.99,SMC108.3.6520,SMC725.16.365,-99.99,15.53,16.088,2.2833979,7e-06,6000.45768,0.166,0.057,4.125,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.543001,OGLE-SMC-CEP-2875,1,0.979281,-72.740611,SMC_SC8_79693,SMC105.3.215,SMC719.08.660,-99.99,16.935,17.478,0.9219421,1.1e-06,6000.82768,0.395,0.321,4.208,0.095,2.078,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.504999,OGLE-SMC-CEP-2876,1,0.979286,-71.932694,-99.99,SMC108.4.5186,SMC725.16.21947,-99.99,16.405,16.91,1.4817317,3.1e-06,6001.04449,0.387,0.168,4.493,0.016,1.448,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.653001,OGLE-SMC-CEP-2877,F,0.979431,-73.059528,SMC_SC8_62753,SMC106.4.22255,SMC726.23.97,HV1770,15.596,16.249,3.0564218,4.3e-06,6001.38548,0.489,0.493,4.619,0.287,3.033,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.636999,OGLE-SMC-CEP-2878,F,0.979456,-73.084583,SMC_SC8_59382,SMC106.4.22349,SMC726.23.559,-99.99,17.245,17.882,1.1173151,1.1e-06,6000.00364,0.466,0.439,4.032,0.283,1.817,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.612,OGLE-SMC-CEP-2879,F,0.979603,-72.917917,SMC_SC8_69494,SMC105.1.19200,SMC726.23.27787,RT Tuc HV1773,15.867,16.479,2.6671505,3.6e-06,6000.40077,0.724,0.513,4.304,0.302,2.524,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.558001,OGLE-SMC-CEP-2880,F,0.979614,-71.264806,-99.99,SMC109.4.168,SMC718.18.150,-99.99,17.175,17.733,1.0799814,8e-07,6001.02609,0.658,0.441,3.982,0.308,1.74,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.577,OGLE-SMC-CEP-2881,1,0.979631,-72.065528,-99.99,SMC108.3.33533,SMC725.16.903,-99.99,16.797,17.374,1.0473755,1.8e-06,6000.50635,0.277,0.249,4.575,0.074,2.778,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.462999,OGLE-SMC-CEP-2882,12,0.979647,-73.139361,-99.99,SMC106.4.150,SMC726.14.29322,-99.99,17.254,17.717,0.6960477,1.2e-06,6000.31357,0.34,0.225,3.708,0.107,1.284,0.5619452,4.7e-06,6000.08063,0.067,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.658999,OGLE-SMC-CEP-2883,1,0.97965,-71.917222,-99.99,SMC108.4.25236,SMC725.16.21590,-99.99,15.39,16.049,2.6753357,9.9e-06,6000.50331,0.213,0.018,3.891,0.093,5.4,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 1.708359 d
0.555,OGLE-SMC-CEP-2884,1,0.979739,-72.932667,SMC_SC8_69515,SMC105.1.19299,SMC726.23.27952,-99.99,16.122,16.677,1.5638824,3.5e-06,6000.73911,0.229,0.156,4.538,0.037,3.167,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.763,OGLE-SMC-CEP-2885,1,0.979778,-72.574333,SMC_SC8_91006,SMC105.4.158,SMC726.31.29125,-99.99,16.298,17.061,1.8190987,5.7e-06,6001.65885,0.234,0.129,4.799,0.029,3.759,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.77,OGLE-SMC-CEP-2886,F,0.980047,-73.161889,-99.99,SMC106.4.65,SMC726.14.28551,-99.99,15.558,16.328,4.2969958,8.1e-06,6000.3609,0.469,0.469,4.763,0.236,3.291,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.762,OGLE-SMC-CEP-2887,F,0.980183,-72.8855,SMC_SC8_72906,SMC105.2.22,SMC726.23.27812,HV1775,14.929,15.691,6.8097792,1.99e-05,6001.19185,0.548,0.395,5.203,0.239,3.431,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.6,OGLE-SMC-CEP-2888,1,0.98025,-72.92575,SMC_SC8_69577,SMC105.1.19304,SMC726.23.27969,-99.99,16.66,17.26,1.2355669,2.2e-06,6001.15638,0.342,0.229,4.346,0.084,2.488,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 0.756259 d
-99.99,OGLE-SMC-CEP-2889,1,0.980272,-72.817167,SMC_SC8_76213,SMC105.2.21113,SMC719.08.581D,-99.99,16.827,-99.99,1.3695823,1.8e-06,6000.53897,0.18,0.083,4.656,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.669,OGLE-SMC-CEP-2890,F,0.980303,-72.684639,SMC_SC8_83110,SMC105.3.96,SMC719.08.135,HV1776,15.442,16.111,3.7497785,4.6e-06,6003.36693,0.728,0.502,4.454,0.318,2.685,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.549,OGLE-SMC-CEP-2891,1,0.980319,-72.958944,SMC_SC8_66148,SMC105.1.19205,SMC726.23.27901,HV1774,15.923,16.472,1.6825212,2.6e-06,6000.18402,0.303,0.203,4.485,0.033,2.881,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.620001,OGLE-SMC-CEP-2892,12,0.980458,-73.014583,-99.99,SMC105.1.387,SMC726.23.791,-99.99,17.296,17.916,0.8286866,1.5e-06,6000.82015,0.263,0.288,4.0,0.095,2.094,0.6663739,4e-06,6000.1864,0.073,0.136,5.013,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.566999,OGLE-SMC-CEP-2893,F,0.980489,-73.3075,-99.99,SMC106.3.140,SMC726.14.370,HV1772,16.361,16.928,1.321549,8.3e-06,6000.52563,0.483,0.575,4.044,0.326,2.035,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,double F+F Cepheid (1.321549 d + 1.135859 d)
0.614,OGLE-SMC-CEP-2894,1,0.980581,-72.023972,-99.99,SMC108.3.33475,SMC725.16.21533,-99.99,14.92,15.534,3.4984784,1.38e-05,6000.2246,0.217,0.152,3.779,0.044,0.337,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.694,OGLE-SMC-CEP-2895,12,0.980586,-72.528222,-99.99,SMC105.4.5348,SMC719.08.29188,-99.99,17.308,18.002,0.884168,2.1e-06,6000.66666,0.216,0.261,3.916,0.072,1.904,0.7103198,5.2e-06,6000.49367,0.064,0.131,4.921,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.66,OGLE-SMC-CEP-2896,F,0.980728,-73.089472,SMC_SC8_59377,SMC106.4.22358,SMC726.23.543,-99.99,17.2,17.86,1.3435553,4.1e-06,6000.05153,0.231,0.325,4.161,0.162,2.264,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.764,OGLE-SMC-CEP-2897,F,0.980944,-71.905972,-99.99,SMC108.4.25221,SMC725.16.21522,HV1783,14.498,15.262,8.1481955,3.12e-05,6002.21281,0.378,0.306,5.566,0.184,4.548,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.506001,OGLE-SMC-CEP-2898,1,0.981106,-72.702583,SMC_SC8_83207,SMC105.3.5931,SMC719.08.786,HV11390,16.673,17.179,0.8279707,8e-07,6000.10587,0.395,0.321,4.036,0.097,1.83,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 0.508754 d
0.825,OGLE-SMC-CEP-2899,F,0.981156,-71.976972,-99.99,SMC108.4.5133,SMC725.16.21562,-99.99,14.809,15.634,7.0548788,9.8e-05,6001.72457,0.087,0.159,5.56,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.615,OGLE-SMC-CEP-2900,1,0.9812,-72.800278,SMC_SC8_76177,SMC105.2.26344,SMC719.08.175,HV12937,16.002,16.617,1.7369785,3.7e-06,6001.67233,0.307,0.173,4.574,0.033,3.976,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.468,OGLE-SMC-CEP-2901,F,0.981356,-74.134,-99.99,SMC107.1.115,SMC727.21.5053,HV1769,16.746,17.214,1.1267433,7e-07,6000.54031,0.668,0.46,3.924,0.295,1.698,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.726001,OGLE-SMC-CEP-2902,1,0.981589,-71.824333,-99.99,SMC109.1.86,SMC725.25.119,-99.99,15.63,16.356,2.7384124,9.8e-06,6001.52746,0.243,0.114,4.059,0.119,0.619,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.705999,OGLE-SMC-CEP-2903,F,0.981656,-73.060528,SMC_SC8_62777,SMC106.4.22262,SMC726.23.261,-99.99,16.384,17.09,2.4144889,3.9e-06,6001.46726,0.404,0.455,4.51,0.237,2.833,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.638999,OGLE-SMC-CEP-2904,1,0.981697,-73.126722,-99.99,SMC106.4.70,SMC726.23.44,-99.99,15.706,16.345,2.2681972,1.38e-05,6002.18271,0.11,0.038,4.206,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.137,OGLE-SMC-CEP-2905,F,0.981964,-72.552083,SMC_SC8_90960,SMC105.4.5182,SMC726.31.28875,-99.99,12.859,13.996,38.0213246,0.0018793,6021.22312,0.33,0.269,5.266,0.108,4.177,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.583,OGLE-SMC-CEP-2906,1,0.981989,-71.650833,-99.99,SMC109.2.140,SMC725.25.11723,-99.99,16.065,16.648,1.7292552,4.9e-06,6000.22204,0.258,0.09,4.796,0.012,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.530001,OGLE-SMC-CEP-2907,12,0.982014,-73.550722,-99.99,SMC106.1.14110,SMC726.06.19536,-99.99,17.886,18.416,0.4902934,7e-07,6000.04366,0.303,0.168,2.786,0.207,0.605,0.3960133,3.2e-06,6000.09224,0.05,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.633999,OGLE-SMC-CEP-2908,F,0.982294,-73.251194,-99.99,SMC106.3.21510,SMC726.14.28937,-99.99,17.319,17.953,1.2472842,1.2e-06,6001.05815,0.506,0.464,4.195,0.303,2.071,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.651999,OGLE-SMC-CEP-2909,F,0.982422,-72.941222,SMC_SC8_69485,SMC105.1.24013,SMC726.23.27761,HV1778,15.758,16.41,3.2140252,3.6e-06,6000.3394,0.745,0.517,4.448,0.329,2.645,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.643,OGLE-SMC-CEP-2910,1,0.982469,-73.4215,-99.99,SMC106.2.76,SMC726.14.49,HV1777,15.476,16.119,2.5058122000000003,7.6e-06,6000.05052,0.252,0.042,4.191,0.051,4.979,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.594,OGLE-SMC-CEP-2911,F,0.982717,-74.092639,-99.99,SMC107.1.118,SMC727.21.5085,-99.99,16.761,17.355,1.4718697,1.2e-06,6000.59595,0.674,0.479,4.172,0.35,2.117,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.51,OGLE-SMC-CEP-2912,1,0.983017,-72.479833,SMC_SC8_148869,SMC105.4.23969,SMC719.17.85,-99.99,15.541,16.051,1.8712069,6.6e-06,6000.61256,0.113,0.054,4.792,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.689,OGLE-SMC-CEP-2913,1,0.983133,-72.650111,SMC_SC8_139391,SMC105.3.28777,SMC719.08.27387,HV11391,15.627,16.316,2.4769158,8.5e-06,6000.78384,0.243,0.045,4.074,0.031,5.085,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 1.509480 d
0.513,OGLE-SMC-CEP-2914,12,0.983153,-73.0835,-99.99,SMC106.4.22645,SMC726.23.1496,-99.99,17.73,18.243,0.5631769,7e-07,6000.1526,0.351,0.231,3.677,0.158,1.224,0.4542371,3.1e-06,6000.28447,0.078,0.11,4.796,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.594,OGLE-SMC-CEP-2915,F,0.983181,-72.715722,SMC_SC8_136029,SMC105.3.5941,SMC719.08.736,HV11394,17.087,17.681,1.3462265,1e-06,6001.00546,0.769,0.487,4.086,0.332,1.968,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.577999,OGLE-SMC-CEP-2916,F,0.983225,-71.908361,-99.99,SMC108.4.25276,SMC725.16.21731,HV844,16.121,16.699,2.2175333,2.4e-06,6002.05698,0.824,0.532,4.184,0.346,2.325,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.535999,OGLE-SMC-CEP-2917,1,0.983289,-72.524861,SMC_SC8_145929,SMC105.4.5268,SMC719.08.27572,HV11392,16.363,16.899,1.3139338,2.3e-06,6000.66969,0.284,0.21,4.257,0.07,2.604,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 0.802348 d
0.604,OGLE-SMC-CEP-2918,1,0.983422,-72.69275,SMC_SC8_136002,SMC105.3.5870,SMC719.08.365,-99.99,16.191,16.795,1.6109612,2.8e-06,6001.30233,0.321,0.212,4.282,0.022,2.9,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.507999,OGLE-SMC-CEP-2919,1,0.983442,-73.195306,-99.99,SMC106.3.21165,SMC726.14.28726,-99.99,16.337,16.845,1.4120748,4.2e-06,6001.18614,0.149,0.084,4.541,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.670001,OGLE-SMC-CEP-2920,F,0.983453,-73.102444,SMC_SC8_113100,SMC106.4.22229,SMC726.23.63,HV1781,15.488,16.158,3.9629248,4.9e-06,6002.23105,0.704,0.5,4.572,0.293,2.921,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.539999,OGLE-SMC-CEP-2921,F,0.983478,-72.168472,-99.99,SMC108.2.37618,SMC725.16.295,-99.99,16.158,16.698,2.2129985,2.1e-06,6001.85451,0.637,0.545,4.335,0.361,2.598,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.601,OGLE-SMC-CEP-2922,F,0.983686,-71.752139,-99.99,SMC109.1.498,SMC725.25.353,-99.99,16.937,17.538,1.2891193,1e-06,6000.79443,0.664,0.475,4.085,0.305,1.926,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.560999,OGLE-SMC-CEP-2923,1,0.984006,-72.726833,SMC_SC8_132616,SMC105.3.5945,SMC719.08.296,-99.99,16.377,16.938,1.3443844,2.5e-06,6000.65463,0.238,0.185,4.378,0.056,2.565,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.637001,OGLE-SMC-CEP-2924,F,0.98405,-72.121472,-99.99,SMC108.3.6607,SMC725.16.386,-99.99,16.237,16.874,1.9950595,1.9e-06,6000.52951,0.813,0.499,4.258,0.35,2.257,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.606,OGLE-SMC-CEP-2925,1,0.984136,-71.513639,-99.99,SMC109.3.20,SMC718.09.25,HV1788,14.817,15.423,3.4788182,1.2e-05,6001.90542,0.253,0.185,3.917,0.066,0.738,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.715,OGLE-SMC-CEP-2926,F,0.984136,-73.452528,-99.99,SMC106.2.82,SMC726.06.4848D,-99.99,15.636,16.351,3.7139957,2.6e-06,6002.52901,0.587,0.493,4.597,0.268,3.058,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.585999,OGLE-SMC-CEP-2927,F,0.984233,-73.374583,-99.99,SMC106.2.19168,SMC726.14.91,HV1780,15.509,16.095,3.1013776,3.4e-06,6001.71484,0.757,0.505,4.359,0.311,2.452,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.485001,OGLE-SMC-CEP-2928,1,0.984275,-72.339,SMC_SC8_154837,SMC108.1.36114,SMC719.17.23891,-99.99,17.185,17.67,0.9109101,1.3e-06,6000.52955,0.41,0.299,4.503,0.109,2.28,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.585001,OGLE-SMC-CEP-2929,F,0.984297,-73.560722,-99.99,SMC106.1.13953,SMC726.06.18610,-99.99,16.81,17.395,1.586636,2e-06,6001.33409,0.627,0.488,4.193,0.358,2.211,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.594999,OGLE-SMC-CEP-2930,1,0.984439,-72.892333,SMC_SC8_126007,SMC105.2.5559,SMC726.23.28469,HV11393,16.634,17.229,1.2279569,1.7e-06,6000.63983,0.334,0.263,4.326,0.083,2.24,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.662999,OGLE-SMC-CEP-2931,1,0.984439,-73.462806,-99.99,SMC106.2.31,SMC726.06.18283,HV1782,15.467,16.13,2.8558108,1.26e-05,6000.38591,0.225,0.061,3.5,0.093,5.745,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.764999,OGLE-SMC-CEP-2932,F,0.984525,-72.013722,-99.99,SMC108.3.33502,SMC725.16.21540,HV1785,15.178,15.943,4.7296951,1.12e-05,6000.90096,0.414,0.45,4.793,0.213,3.35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.606,OGLE-SMC-CEP-2933,F,0.984539,-73.251528,-99.99,SMC106.3.21171,SMC726.14.28629,-99.99,15.883,16.489,2.4943122,3.9e-06,6002.34792,0.774,0.54,4.299,0.362,2.525,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.763,OGLE-SMC-CEP-2934,F,0.984619,-72.185583,-99.99,SMC108.2.37632,SMC725.16.514,-99.99,16.588,17.351,1.9320932,4.2e-06,6000.1998,0.3,0.4,4.368,0.185,2.617,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
